Gene,Gluconeogenesis,Glycolysis,Lactate-Shuttle,HMP-Shunt-Glutathione,TCA,Glycogenesis,Glycogenolysis,Various-Metabolites,ETC,FA-Synthesis,FA-Oxidation,Ketosis,Urea-Cycle,Glutamate-Receptors
EZH2,,BP,"KEGG, BP",,,WP,,,,WP,"BP, WP",BP,,"WP, BP"
FUT8,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG"
GAMT,BP,"KEGG, BP",BP,BP,"BP, KEGG",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,"KEGG, BP, WP",WP
SIN3A,KEGG,"BP, KEGG","KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP, WP",,,"KEGG, BP",BP,"BP, WP",BP,,"WP, KEGG, BP"
SMC3,,,,,,"BP, KEGG, WP",,,,,,,,WP
TAP1,,BP,BP,BP,BP,"KEGG, BP",,BP,BP,BP,BP,BP,BP,"WP, BP"
DPYSL2,BP,BP,BP,BP,BP,"KEGG, BP, WP",,BP,,"BP, WP",BP,BP,BP,WP
IGF2BP1,,,"KEGG, BP",,BP,"BP, WP",,,,WP,BP,,,WP
KCNN2,,,"KEGG, BP",,,WP,,,,WP,BP,,BP,"WP, BP"
KIDINS220,BP,BP,,,BP,"KEGG, BP, WP",,,,WP,,,,"WP, BP"
MARCKS,BP,BP,"KEGG, BP",BP,BP,"BP, WP",BP,BP,BP,"BP, WP",BP,BP,BP,WP
NCAM1,BP,BP,,,KEGG,"KEGG, BP, WP",,,KEGG,WP,,,,"WP, KEGG, BP"
NCK2,BP,BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,,"BP, WP",BP,BP,BP,"WP, BP"
NTRK3,,,,,,"BP, KEGG, WP",,,,WP,WP,,,WP
RASGRF1,,BP,BP,WP,BP,"KEGG, BP, WP",,,BP,WP,,,BP,"WP, KEGG, BP"
RHOG,BP,"KEGG, BP",BP,,,"KEGG, BP, WP",BP,,,"BP, WP",,,,"WP, BP"
SHC4,BP,BP,"KEGG, BP",,BP,"BP, WP",BP,,,"BP, WP",,,BP,WP
SORT1,,,,BP,,"KEGG, BP, WP",,,,"KEGG, BP, WP",,,,WP
TIAM1,,,,,,"BP, KEGG, WP",,,,WP,,,,"WP, KEGG, BP"
ASMT,BP,BP,BP,BP,"KEGG, BP, WP","BP, WP",BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,WP
CHDH,,KEGG,,,"BP, KEGG",,,,,,,,,WP
COMT,BP,BP,BP,"BP, WP",BP,"BP, KEGG",BP,"KEGG, BP, WP",BP,BP,BP,BP,BP,"WP, KEGG, BP"
DNMT1,BP,BP,"KEGG, BP",BP,"KEGG, BP, WP",BP,BP,"BP, KEGG",BP,BP,BP,BP,BP,WP
DNMT3A,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,WP
EHMT2,,,,,"KEGG, BP",BP,,,,,"KEGG, BP",,,WP
DAB1,,,,,,BP,,,,,,,,"WP, BP, KEGG"
KCNJ6,,,"BP, KEGG",,,,,,,,,,,"WP, BP"
NEO1,BP,BP,,,,"KEGG, BP",,,,,,,,WP
NTNG1,,,,,,"BP, KEGG",,,,,,,,WP
SNW1,,"BP, KEGG",,,,"BP, WP",,,,,,,,WP
EXOC2,BP,"KEGG, BP",BP,,BP,"BP, WP",BP,,,BP,"BP, WP",,,"WP, KEGG"
GAB2,,BP,BP,,BP,"BP, WP",,,,,BP,BP,BP,"WP, KEGG, BP"
HTR7,,,,,,"BP, WP",,,,,WP,,,"WP, BP, KEGG"
LAT,,BP,BP,,,"KEGG, BP, WP",,,,,BP,BP,,"WP, KEGG, BP"
PAK4,BP,BP,"KEGG, BP",,BP,"BP, WP",,WP,,,,,,WP
PLA2G4B,BP,BP,"KEGG, BP","KEGG, BP",BP,BP,"KEGG, BP",BP,BP,BP,"BP, WP","KEGG, BP, WP",BP,"WP, KEGG, BP"
PLCE1,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP"
PLCG2,BP,BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,BP,"BP, WP",BP,BP,BP,"WP, BP"
RALA,BP,KEGG,"BP, KEGG",,"KEGG, BP","KEGG, BP, WP",BP,,,,,,,"WP, KEGG"
RALBP1,,,"BP, KEGG",,"KEGG, BP","KEGG, BP",,,,,,,,"WP, KEGG"
RALGDS,,,"BP, KEGG",,"KEGG, BP","KEGG, BP, WP",,,,,,,,"WP, KEGG"
RASA1,BP,BP,BP,,,"KEGG, BP, WP",BP,,,BP,BP,BP,,"WP, BP"
RASA2,,KEGG,,,,,,,,,BP,,BP,WP
RASGRP1,,BP,"KEGG, BP",WP,"KEGG, BP","KEGG, BP, WP",,,BP,,BP,BP,BP,"WP, KEGG, BP"
RASGRP2,,BP,BP,,BP,"KEGG, BP, WP",,,BP,,BP,BP,BP,"WP, KEGG, BP"
RASGRP3,,,,,,"KEGG, BP, WP",,,,,BP,,BP,"WP, KEGG"
RASSF1,,,"KEGG, BP",,"KEGG, BP","BP, KEGG",,,,,,,,"WP, KEGG"
RASSF5,,,"BP, KEGG",,"KEGG, BP","KEGG, BP",,,,,,,,"WP, KEGG"
RGL1,,,,,BP,,,,,BP,BP,BP,,"WP, KEGG"
RRAS,BP,"KEGG, BP",BP,BP,BP,"KEGG, BP, WP",,BP,,BP,BP,BP,BP,"WP, BP, KEGG"
RRAS2,,BP,BP,,,WP,,,,,BP,BP,,"WP, KEGG, BP"
STK4,KEGG,BP,"KEGG, BP",,"KEGG, BP","KEGG, BP",KEGG,BP,BP,,BP,BP,BP,"WP, KEGG, BP"
ZAP70,,,,,,"BP, KEGG, WP",,,,,,,,"WP, KEGG"
GNAO1,BP,BP,BP,"BP, WP",BP,"BP, KEGG, WP",BP,BP,BP,"BP, WP",BP,BP,BP,"WP, BP"
HAP1,,,KEGG,"KEGG, BP","KEGG, BP",KEGG,,,"KEGG, BP",,,,,"WP, BP, KEGG"
HTT,,BP,"KEGG, BP","BP, KEGG","KEGG, BP","KEGG, BP",,,"KEGG, BP",WP,,,BP,"WP, KEGG, BP"
KCNJ10,,,"BP, KEGG",KEGG,KEGG,,,,KEGG,,,,,"WP, KEGG, BP"
SCN1A,BP,BP,,,,"KEGG, BP",,,,,,,,"WP, KEGG"
SCN2A,BP,BP,,,,BP,,,,,,,,"WP, KEGG"
TRRAP,,BP,"KEGG, BP",BP,,BP,,,,,,,BP,WP
CDH1,,BP,"KEGG, BP",,"KEGG, BP","BP, KEGG, WP",,,,,,,,"WP, KEGG, BP"
E2F2,,BP,"KEGG, BP",BP,BP,"BP, WP",,BP,,BP,BP,BP,BP,"WP, BP"
E2F3,,BP,"KEGG, BP",BP,BP,"BP, WP",,BP,,BP,BP,BP,BP,"WP, BP"
ERBB4,,,,"KEGG, WP","BP, KEGG","KEGG, BP, WP",,,KEGG,,,,,"WP, KEGG, BP"
GADD45G,KEGG,BP,"KEGG, BP",,KEGG,"BP, KEGG, WP",KEGG,,,,BP,BP,,"WP, KEGG, BP"
MITF,,,"KEGG, BP",,"KEGG, BP","KEGG, BP, WP",,BP,,,,,,"WP, KEGG"
ADRA1D,,BP,BP,,,BP,,,,,BP,BP,,"WP, BP, KEGG"
CCR5,,"KEGG, BP",BP,,BP,"KEGG, BP, WP",,,BP,,BP,BP,BP,"WP, BP"
CHRM3,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, BP, KEGG"
CXCR2,,,,BP,,"KEGG, BP, WP",,,,,,,,"WP, BP"
DRD3,,,,,WP,"KEGG, BP, WP",,,,,WP,,,"WP, BP, KEGG"
EDNRA,,,KEGG,,KEGG,"KEGG, BP",,,,,BP,,"BP, WP","WP, BP, KEGG"
FSHR,,BP,BP,,,BP,,BP,,,BP,BP,,"WP, BP, KEGG"
GHRHR,,,,,,"KEGG, BP",,,,,,,,"WP, BP, KEGG"
GNRHR,,BP,BP,,,BP,,,,,BP,BP,,"WP, BP, KEGG"
GRPR,,,,,,BP,,,,,,,,"WP, BP, KEGG"
PTGFR,,,,,,,,,,,,WP,,"WP, BP, KEGG"
SMO,,,"KEGG, BP",,"KEGG, BP","KEGG, BP",,,,,,,,"WP, BP"
UTS2R,,,,,WP,WP,,,,,WP,,,"WP, BP, KEGG"
CRH,,,BP,,"KEGG, WP","KEGG, BP, WP",,,,WP,WP,,,"WP, BP, KEGG"
CRHR1,,,,BP,KEGG,"KEGG, BP, WP",,,,WP,,,,"WP, BP, KEGG"
ADRA1A,KEGG,KEGG,,,,"KEGG, BP, WP",KEGG,,,"KEGG, BP, WP","KEGG, BP, WP",,WP,"WP, BP"
TRPV1,,BP,BP,,,BP,,,,,BP,"BP, WP",,"WP, KEGG, BP"
ADA,BP,"KEGG, BP",BP,BP,"BP, WP","KEGG, BP, WP","KEGG, BP",BP,BP,BP,"BP, WP",BP,BP,"WP, BP"
ADSL,BP,"BP, KEGG","KEGG, BP",BP,BP,"KEGG, BP","KEGG, BP","KEGG, BP",BP,BP,BP,BP,"KEGG, BP","WP, BP"
AMPD1,BP,"KEGG, BP",BP,BP,BP,"KEGG, BP","KEGG, BP",BP,BP,BP,BP,BP,BP,WP
AOX1,BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,"KEGG, BP",BP,BP,"BP, KEGG, WP","KEGG, BP",BP,WP
APRT,BP,"KEGG, BP",BP,BP,BP,"KEGG, BP","KEGG, BP",BP,BP,BP,BP,BP,BP,WP
ATIC,BP,"BP, KEGG",BP,BP,BP,"KEGG, BP","KEGG, BP",BP,BP,BP,BP,BP,BP,"WP, BP"
HPRT1,BP,"KEGG, BP",BP,BP,BP,"KEGG, BP","KEGG, BP",BP,BP,"BP, WP",BP,BP,BP,WP
IMPDH1,BP,"KEGG, BP",BP,BP,BP,"KEGG, BP","KEGG, BP",BP,BP,BP,BP,BP,BP,WP
ITPA,BP,"KEGG, BP",BP,BP,BP,"KEGG, BP","KEGG, BP",BP,BP,BP,BP,BP,BP,WP
PFAS,BP,"KEGG, BP",BP,BP,BP,"KEGG, BP","KEGG, BP",BP,BP,BP,BP,BP,BP,WP
XDH,BP,"BP, KEGG",BP,"BP, WP","KEGG, BP","KEGG, BP","KEGG, BP",BP,BP,BP,"KEGG, BP","KEGG, BP",BP,"WP, BP"
EEF2K,KEGG,KEGG,,,,"KEGG, BP, WP",KEGG,,,"KEGG, BP, WP","KEGG, BP, WP",,,"WP, BP"
ADORA1,,BP,BP,,"BP, WP","BP, WP",,,BP,,WP,,BP,"WP, BP, KEGG"
CACNA1I,BP,BP,,,"KEGG, WP","KEGG, BP",,,,,,,,"WP, KEGG, BP"
GHRH,,,,,WP,"KEGG, BP, WP",,,,,WP,,,"WP, BP, KEGG"
GHRL,,,BP,,"BP, WP","KEGG, BP, WP",,,,,"BP, WP",,,"WP, BP, KEGG"
HCRTR1,,,,,WP,"BP, WP",,,,,WP,,,"WP, BP, KEGG"
MTNR1B,,,,,WP,"BP, WP",,,,,WP,,,"WP, BP, KEGG"
NPS,,,,,WP,"BP, WP",,,,,WP,,,"WP, BP, KEGG"
OXT,,,,,WP,,,,,,,,,"WP, BP, KEGG"
OXTR,,BP,BP,BP,"BP, WP",BP,,BP,,BP,BP,BP,BP,"WP, BP, KEGG"
PTGDR,,,,,WP,,,,,,,WP,,"WP, BP, KEGG"
SLC29A1,BP,BP,BP,,WP,BP,BP,,,,,,,"WP, KEGG"
STAR,BP,BP,,,"KEGG, BP, WP","KEGG, BP, WP",,,,"BP, WP","BP, WP",BP,,WP
UTS2,,,,,WP,WP,,,,,WP,,,"WP, BP, KEGG"
CASP1,,"KEGG, BP","KEGG, BP","BP, KEGG, WP","KEGG, BP","KEGG, BP, WP",KEGG,BP,"KEGG, BP",BP,BP,BP,BP,"WP, KEGG, BP"
CCS,,,,"KEGG, BP, WP",KEGG,"KEGG, WP",,,KEGG,,,,,"WP, BP, KEGG"
DAXX,,BP,BP,"KEGG, BP, WP",KEGG,"KEGG, BP, WP",,,KEGG,,BP,BP,BP,"WP, KEGG, BP"
DERL1,,,,"KEGG, BP, WP",KEGG,KEGG,,,KEGG,,,,,"WP, BP, KEGG"
NEFH,,,,"KEGG, BP, WP",KEGG,"KEGG, WP",,,KEGG,,,,,"WP, BP, KEGG"
NEFM,,,,"KEGG, BP, WP",KEGG,"KEGG, WP",,,KEGG,,WP,,,"WP, BP, KEGG"
PRPH,,,,"KEGG, BP, WP",KEGG,KEGG,,,KEGG,,,,,"WP, BP, KEGG"
SLC1A2,BP,BP,"BP, KEGG","KEGG, BP, WP",KEGG,BP,BP,,KEGG,,,,,"WP, KEGG, BP"
SOD1,,BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP",,,"KEGG, BP",,"KEGG, BP","KEGG, BP",BP,"WP, KEGG, BP"
DYNLL2,,KEGG,,,,BP,,,,,WP,,,WP
NCBP1,,,BP,KEGG,"KEGG, BP",BP,,,KEGG,,BP,,,"WP, KEGG"
SLC40A1,BP,BP,BP,BP,"BP, WP",BP,BP,BP,,BP,"KEGG, BP, WP",BP,BP,WP
TFRC,BP,"KEGG, BP","KEGG, BP",,"KEGG, BP, WP","KEGG, BP",BP,,,,"KEGG, BP, WP",BP,BP,WP
C5,,,,,KEGG,"KEGG, BP",,,KEGG,,,,WP,"WP, BP, KEGG"
CXCL1,,BP,BP,BP,BP,"KEGG, BP, WP",,BP,,BP,BP,BP,"KEGG, BP, WP","WP, BP"
CXCL10,,BP,BP,BP,BP,"KEGG, BP, WP",,,BP,,,,"BP, WP","WP, BP"
FCGR2A,,KEGG,,,,KEGG,,,,,,,WP,"WP, BP"
IL1R1,,"BP, KEGG","KEGG, BP",BP,BP,"KEGG, BP",,BP,BP,BP,BP,BP,"KEGG, BP, WP","WP, BP"
LTB4R,,,,,,BP,,,,,BP,WP,"BP, WP","WP, BP, KEGG"
NTN1,BP,BP,,,,"KEGG, BP, WP",,,,,,,WP,WP
PDYN,,,,KEGG,KEGG,KEGG,,,KEGG,,,,WP,"WP, BP, KEGG"
RHOB,BP,"KEGG, BP",BP,,BP,"BP, WP",BP,,,BP,,,WP,"WP, BP"
SELP,,BP,BP,BP,,"KEGG, BP",,BP,,,BP,BP,"BP, WP","WP, BP"
SLIT1,BP,BP,,,,"KEGG, BP",,,,,,,WP,WP
SLIT2,BP,BP,,,,"KEGG, BP",,,,,,,WP,WP
SLIT3,BP,BP,BP,BP,BP,"KEGG, BP",,BP,,BP,BP,BP,"BP, WP",WP
SOX9,,,,,,"BP, WP",,,,,,"BP, WP",WP,"WP, KEGG"
VIM,,BP,"KEGG, BP",,BP,BP,,BP,BP,,"BP, WP",BP,"BP, WP","WP, BP"
ZFP36,,BP,"KEGG, BP",,,"KEGG, BP",,,,,BP,BP,WP,"WP, BP"
PGLS,"BP, KEGG","KEGG, BP",BP,"WP, KEGG, BP",BP,"KEGG, BP","KEGG, BP",BP,BP,BP,BP,BP,BP,
RPE,"BP, KEGG","KEGG, BP",BP,"WP, KEGG, BP",BP,"KEGG, BP","KEGG, BP",BP,BP,BP,BP,BP,BP,
ANPEP,BP,BP,BP,"WP, KEGG, BP","KEGG, BP, WP","BP, WP",BP,BP,BP,BP,BP,BP,BP,
OPLAH,BP,BP,BP,"WP, KEGG, BP","KEGG, BP, WP",BP,BP,BP,BP,BP,BP,BP,BP,
PAPSS2,BP,"KEGG, BP",BP,"WP, BP",BP,"BP, KEGG","KEGG, BP",BP,BP,BP,BP,BP,BP,
TXN2,,KEGG,,"WP, BP",KEGG,,,,KEGG,,,,KEGG,
TXNRD2,,,KEGG,WP,KEGG,KEGG,,WP,,,,,BP,
ABCA1,BP,BP,BP,"WP, BP",BP,"KEGG, BP",BP,"KEGG, BP",BP,"BP, WP","BP, WP","BP, WP",BP,
ALOX15B,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,"BP, WP",BP,
ALOX5,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,"BP, WP",BP,
APOB,BP,BP,BP,"WP, BP",BP,"KEGG, BP",BP,"KEGG, BP",BP,"BP, WP",BP,BP,BP,
F2,BP,"KEGG, BP","KEGG, BP","WP, BP","KEGG, BP","KEGG, BP",BP,,BP,,BP,BP,BP,"BP, KEGG"
GPX6,,,KEGG,"WP, BP, KEGG","KEGG, BP",KEGG,,,KEGG,,,,,KEGG
KMO,BP,BP,BP,"WP, BP","KEGG, BP, WP",BP,BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,
KYNU,BP,BP,BP,"WP, BP","KEGG, BP, WP",BP,BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,
MPO,,,,"WP, BP",,,,,,,,,,KEGG
MTR,BP,BP,"KEGG, BP","WP, BP","KEGG, BP",BP,BP,"KEGG, BP",BP,BP,BP,BP,BP,
PLAT,,BP,BP,"WP, BP",,"KEGG, BP, WP",,BP,,,BP,"BP, WP",KEGG,"KEGG, BP"
PRDX5,,,,"WP, BP","KEGG, BP",,,,,,"KEGG, BP","KEGG, BP",,
PTGS1,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,"BP, WP",BP,
SCARB1,,,KEGG,"WP, BP","KEGG, BP, WP","KEGG, WP",,KEGG,,"BP, WP",BP,"BP, WP",,
BCKDHA,BP,BP,"KEGG, BP","WP, BP","BP, KEGG, WP",BP,BP,BP,BP,"KEGG, BP, WP","KEGG, BP","KEGG, BP",BP,
ATR,,KEGG,,WP,,"BP, KEGG, WP",,,,,,,,
BUB1,,,,WP,,"BP, KEGG, WP",,,,BP,,,,
CHEK1,,KEGG,KEGG,WP,,"KEGG, BP, WP",,BP,,BP,,,BP,BP
KAT5,,BP,"KEGG, BP",WP,,"BP, WP",,,,BP,,,BP,KEGG
PRKDC,,,,WP,,"BP, KEGG, WP",,,,,WP,,BP,
APBB1IP,,BP,BP,WP,,BP,,,,,,,,"KEGG, BP"
C3,,"KEGG, BP",,WP,,"KEGG, BP",,,,,,,,"BP, KEGG"
CD4,,,"KEGG, BP",WP,BP,"KEGG, BP, WP",,,,,BP,,,
DPYD,BP,BP,BP,"WP, BP",BP,BP,BP,"BP, WP",BP,BP,"KEGG, BP",BP,"KEGG, BP, WP",
IL10RA,,,,WP,,KEGG,,,,,BP,,BP,
ITGAM,,BP,BP,"WP, BP",BP,BP,,BP,,BP,BP,BP,"KEGG, BP","KEGG, BP"
MAF,,,,WP,,WP,,,,,BP,,BP,KEGG
NPC2,BP,BP,BP,"WP, BP",BP,BP,,BP,,"KEGG, BP",BP,BP,BP,
PYCARD,,"KEGG, BP","KEGG, BP","WP, BP",BP,"KEGG, BP, WP",KEGG,,BP,,,,BP,
SH2B3,,BP,BP,WP,,"KEGG, BP",,,,,,,,
TCIRG1,BP,"KEGG, BP","KEGG, BP","WP, BP","KEGG, BP","KEGG, BP",BP,BP,"KEGG, BP","KEGG, BP",BP,BP,BP,
TGFBR1,KEGG,KEGG,"KEGG, BP","WP, KEGG","KEGG, BP","BP, KEGG, WP",KEGG,,KEGG,,KEGG,,,KEGG
BMAL1,BP,BP,BP,"WP, BP",BP,"KEGG, BP, WP",BP,"BP, WP",BP,BP,"BP, WP",BP,BP,KEGG
BRCA2,,BP,"KEGG, BP",WP,"KEGG, BP","KEGG, BP, WP",,,BP,BP,,,BP,
CDK9,,,BP,WP,BP,"BP, WP",,,,,BP,,BP,"KEGG, BP"
CLOCK,BP,BP,BP,"WP, BP",BP,"KEGG, BP, WP",BP,"BP, WP",BP,BP,"BP, WP",BP,BP,KEGG
CYP17A1,BP,BP,BP,"WP, BP","KEGG, BP","BP, KEGG",BP,BP,BP,BP,BP,BP,BP,
ETV5,,BP,BP,"WP, BP",BP,"BP, KEGG, WP",,BP,,BP,BP,BP,BP,KEGG
FOLH1,,BP,"KEGG, BP","WP, BP",BP,BP,,KEGG,BP,,,,"KEGG, BP",
PEX10,,,,WP,"BP, KEGG",,,,,,"KEGG, BP","KEGG, BP",,
RGS9,,,,WP,,,BP,,,,,,,"KEGG, BP"
SRD5A2,,,,WP,BP,"BP, KEGG",,,,BP,BP,BP,,
USP8,,,,WP,KEGG,"BP, KEGG",,,,,,,,
ABCD1,BP,BP,BP,"WP, BP","KEGG, BP",BP,BP,BP,BP,BP,"KEGG, BP","KEGG, BP",BP,
BDKRB1,,,,WP,,BP,,,,,BP,,,"BP, KEGG"
CD14,BP,"KEGG, BP",,"WP, BP",BP,"KEGG, BP",,,,,,,"KEGG, BP",KEGG
CD40,,,KEGG,"WP, BP",,"KEGG, BP",,,,,,,,"KEGG, BP"
CDKN2B,KEGG,BP,"KEGG, BP","WP, BP","KEGG, BP","BP, KEGG, WP",KEGG,BP,,BP,BP,BP,BP,"KEGG, BP"
CDKN2C,,,KEGG,WP,KEGG,"BP, KEGG, WP",,,,,,,,KEGG
CDKN2D,KEGG,BP,BP,WP,BP,"BP, KEGG, WP",KEGG,,BP,,,,BP,KEGG
CDX2,BP,BP,BP,"WP, BP",BP,"KEGG, BP",BP,BP,BP,BP,BP,BP,BP,
CTLA4,,,,WP,,"BP, KEGG, WP",,,,,,,,
ID1,,,,WP,BP,"KEGG, BP, WP",,BP,,,,,,KEGG
KLF4,BP,BP,BP,WP,BP,"KEGG, BP, WP",,,,WP,BP,,,
KNG1,,BP,"KEGG, BP",WP,KEGG,"KEGG, BP",,,,,,,,"BP, KEGG"
PTGER4,,"KEGG, BP",BP,"WP, BP",BP,"KEGG, BP",,BP,,BP,BP,BP,BP,BP
S100A8,,BP,BP,WP,,"KEGG, BP",,BP,,,BP,BP,,BP
S100A9,,BP,BP,WP,,"KEGG, BP",,BP,,,BP,BP,,BP
TPM1,BP,BP,"KEGG, BP",WP,BP,BP,,BP,"KEGG, BP",,BP,BP,,BP
AKR1A1,"KEGG, BP","KEGG, BP","KEGG, BP","WP, BP, KEGG","KEGG, BP","KEGG, BP","KEGG, BP",BP,BP,"KEGG, BP",BP,BP,BP,
AKR1B1,"KEGG, BP","BP, KEGG",BP,"WP, KEGG, BP",BP,"KEGG, BP","KEGG, BP",BP,BP,BP,BP,"BP, WP",BP,
AKR1C3,,BP,BP,"WP, KEGG, BP",BP,BP,,BP,,BP,"BP, WP",BP,BP,BP
CYP11A1,BP,BP,BP,"WP, BP","KEGG, BP","KEGG, BP, WP",BP,BP,BP,"BP, WP",BP,BP,BP,
CYP11B1,BP,BP,BP,"WP, BP","KEGG, BP","BP, KEGG, WP",BP,BP,BP,"BP, WP",BP,BP,BP,
CYP21A2,BP,BP,BP,"WP, BP","KEGG, BP","BP, KEGG, WP",BP,BP,BP,"BP, WP",BP,BP,BP,
CYP2J2,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,BP,BP,
CYP2U1,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,"KEGG, BP","KEGG, BP",BP,
CYP4F3,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,BP,BP,
CYP4F8,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,BP,BP,
EPHX1,,,KEGG,"WP, BP",,,,,,,,,,
EPHX2,BP,BP,BP,"WP, BP, KEGG","KEGG, BP",BP,BP,BP,BP,BP,"KEGG, BP","KEGG, BP",BP,
GSTK1,,,,"WP, BP","KEGG, BP",,,,,,"KEGG, BP","KEGG, BP",,
GSTO2,BP,BP,"KEGG, BP","WP, BP","KEGG, BP","BP, KEGG",BP,BP,BP,BP,BP,BP,"KEGG, BP",
GSTZ1,BP,BP,BP,"WP, BP",BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP,
INMT,,,,WP,"BP, KEGG, WP",,,,,,"KEGG, BP, WP",,,
"NAT8",,,,"WP, BP, KEGG",KEGG,,,,,,,,,
"NAT8L",,,KEGG,"WP, BP",,,,KEGG,,,,,KEGG,
ME2,"BP, KEGG","KEGG, BP","KEGG, BP",,"WP, KEGG, BP",,,,,"KEGG, BP",,,,
ALDH2,"KEGG, BP","KEGG, BP","BP, KEGG",BP,"WP, KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP","KEGG, BP",BP
ALDH9A1,BP,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,"KEGG, BP",BP,BP,
L2HGDH,BP,BP,BP,BP,"WP, BP",BP,BP,BP,BP,BP,"KEGG, BP","KEGG, BP",BP,
COX11,BP,BP,BP,BP,"WP, BP, KEGG","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,
COX15,BP,BP,BP,BP,"WP, BP, KEGG",BP,BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,
MCOLN1,BP,BP,BP,,"WP, BP",BP,BP,,,"KEGG, BP",,,,
STEAP3,BP,BP,BP,BP,"WP, BP","BP, WP",BP,,,,"KEGG, WP",,,
AADAT,BP,BP,BP,BP,"WP, BP, KEGG",BP,BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,
AANAT,BP,BP,BP,BP,"WP, KEGG, BP","BP, WP",BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,
ACMSD,BP,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,
AFMID,BP,BP,"KEGG, BP",BP,"WP, BP, KEGG",BP,BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,
AOC1,,,BP,,"WP, KEGG, BP",,,"KEGG, BP",,,"KEGG, BP, WP",,"KEGG, BP",
HAAO,BP,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,
IDO2,BP,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,
IL4I1,BP,BP,"BP, KEGG",BP,"WP, KEGG, BP",BP,BP,"KEGG, BP",BP,BP,"KEGG, BP, WP","KEGG, BP","KEGG, BP",
FDPS,BP,BP,"KEGG, BP",BP,"WP, BP","BP, WP",BP,BP,BP,"BP, WP","BP, WP","KEGG, BP, WP",BP,
HMGCR,"KEGG, BP","BP, KEGG","KEGG, BP",BP,"WP, BP","KEGG, BP, WP","KEGG, BP",BP,BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP
HMGCS1,"BP, KEGG",BP,BP,BP,"WP, KEGG, BP","BP, WP",BP,BP,BP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP
IDI1,BP,BP,BP,BP,"WP, BP","BP, WP",BP,"BP, WP",BP,"BP, WP","BP, WP","KEGG, BP, WP",BP,BP
MVD,BP,BP,BP,BP,"WP, BP","BP, WP",BP,BP,BP,"BP, WP","BP, WP","KEGG, BP, WP",BP,
SEC24B,,KEGG,,,"WP, BP","BP, WP",,,BP,WP,,WP,,
HSD17B12,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP","KEGG, BP","KEGG, BP",BP,
MCAT,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP","KEGG, BP",BP,BP,
OXSM,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP","KEGG, BP",BP,BP,
HNF4A,"KEGG, BP","BP, KEGG",BP,,,"KEGG, BP, WP","KEGG, BP",,,"WP, KEGG, BP","KEGG, BP, WP",BP,,
STRADB,KEGG,KEGG,,,,"KEGG, BP, WP",KEGG,,,"WP, KEGG, BP","KEGG, BP, WP",,BP,
MTTP,BP,BP,BP,BP,BP,"BP, WP",BP,"KEGG, BP",BP,"WP, BP","BP, WP",BP,BP,
