Gene,Gluconeogenesis,Glycolysis,Lactate-Shuttle,HMP-Shunt-Glutathione,TCA,Glycogenesis,Glycogenolysis,Various-Metabolites,ETC,FA-Synthesis,FA-Oxidation,Ketosis,Urea-Cycle,Glutamate-Receptors
SOS1,"WP, BP, KEGG","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",,KEGG,"KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP"
SREBF1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, WP","BP, KEGG, WP","KEGG, BP, WP","BP, WP",,
THRA,"WP, KEGG",KEGG,"KEGG, WP",,,"KEGG, WP",WP,,,WP,,"BP, WP",,"KEGG, BP"
THRB,"WP, KEGG","KEGG, WP","KEGG, WP",,,"KEGG, WP",WP,,,WP,WP,,,"BP, WP"
TRIP10,"WP, KEGG, BP","KEGG, BP","BP, WP",,,"BP, KEGG, WP","KEGG, BP, WP",,,"KEGG, BP, WP",,,,
TSC1,"WP, KEGG, BP","KEGG, BP, WP","BP, WP",,"KEGG, WP","BP, KEGG, WP","KEGG, BP, WP",,KEGG,"KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, WP"
TSC2,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP, WP","KEGG, BP, WP",BP,,WP
ACLY,"WP, KEGG, BP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP","BP, WP","BP, WP",
ACO1,"WP, KEGG, BP",BP,"KEGG, BP",BP,"KEGG, BP, WP",BP,BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,
CS,"WP, KEGG, BP","BP, WP","BP, KEGG, WP","BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP","KEGG, BP, WP",BP,BP,"BP, WP","BP, WP",
DLST,"WP, KEGG, BP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP",BP,"BP, WP","BP, WP",
FH,"WP, KEGG, BP","KEGG, BP, WP","BP, KEGG, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP",
IDH1,"WP, KEGG, BP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","BP, WP","BP, WP","KEGG, BP, WP",BP,"KEGG, BP","KEGG, BP, WP","BP, WP",
IDH3A,"WP, KEGG, BP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,BP,
OGDH,"WP, KEGG, BP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP","KEGG, BP, WP","BP, WP",BP,"BP, WP","BP, WP",
SDHA,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP, WP",BP,"KEGG, BP","BP, WP","BP, WP","KEGG, BP"
